Incident_Month,Incident.year,Victim.injury,State,Location,Latitude,Longitude,Site.category,Shark.common.name,Shark.length.m,Provoked/unprovoked,Victim.activity,Direction.first.strike,Injury.location,Victim.gender,Victim.age,
Feb,1895,fatal,NSW,"leichhardt, sydney harbour",-33.93333333,151.25,estuary/harbour,bull shark,3.5,unprovoked,swimming,,leg,male,16,
Mar,1895,injured,QLD,"burnett river, sharon",-24.9,152.2333333,estuary/harbour,bull shark,,unprovoked,swimming,,foot,male,13,
Jun,1895,fatal,WA,barrow island,-20.78333333,115.5333333,island open ocean,tiger shark,,provoked,diving,,other: body not recovered,male,,
Nov,1895,fatal,NSW,"jervis bay, cape st george lighthouse",-35.13333333,150.75,coastal,whaler shark,,provoked,swimming,,other: body not recovered,male,,
Dec,1895,uninjured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,diving,,other: uninjured,male,,
Dec,1895,fatal,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,4,unprovoked,swimming,below,torso,male,14,
Jan,1896,fatal,NSW,"pyrmont baths, sydney",-33.86666667,151.1833333,estuary/harbour,bull shark,,unprovoked,swimming,,torso,male,11,
Nov,1896,fatal,WA,esperance,-33.85,121.8833333,coastal,white shark,,unprovoked,swimming,,leg,male,,
Jan,1897,injured,NSW,"macleay river, kempsey",-31.06666667,152.8333333,river,bull shark,1.8,unprovoked,swimming,,thigh,male,12,
Dec,1897,injured,QLD,"torres strait, mabuiag island ",-9.95,142.1833333,island open ocean,tiger shark,,unprovoked,swimming,,torso,male,,
Sep,1898,injured,NSW,"port stephens, nelson's bay",-32.71666667,152.1166667,estuary/harbour,bull shark,,provoked,fishing,,foot,male,,
Dec,1898,injured,QLD,"moreton bay, wellington point",-27.46666667,153.2166667,coastal,whaler shark,1.2,provoked,fishing,,thigh,male,,
Feb,1899,injured,NSW,"sugar loaf bay, sydney harbour",-33.78333333,151.2166667,estuary/harbour,bull shark,,unprovoked,swimming,,thigh,male,,
Dec,1899,injured,QLD,"moreton bay, tingalpa creek, near wynnum",-27.55,153.1833333,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,,
Jan,1900,injured,NSW,"iron cove bridge, sydney",-33.85,151.15,estuary/harbour,bull shark,,unprovoked,swimming,,thigh,male,,
Jan,1900,injured,NT,melville island,-11.6,130.95,coastal,tiger shark,,unprovoked,swimming,,arm,male,,
Sep,1900,injured,QLD,townsville harbour,-19.25,146.8166667,estuary/harbour,tiger shark,,unprovoked,swimming,,calf,male,,
Nov,1900,fatal,QLD,torres strait (unknown location),-10.55,142.3833333,island open ocean,,,provoked,snorkelling,,,male,,
Dec,1900,fatal,NSW,"middle harbour, folly point, sydney harbour",-33.78333333,151.2333333,estuary/harbour,bull shark,,unprovoked,swimming,,leg,male,21,
Jan,1901,injured,NT,melville island,-11.6,130.95,coastal,tiger shark,,unprovoked,swimming,,leg,male,,
Jan,1901,fatal,QLD,"brisbane river, rowing club",-27.46666667,153,river,bull shark,,unprovoked,swimming,,thigh,male,13,
Feb,1901,injured,QLD,barron river mouth,-16.85,145.75,river,wobbegong,,provoked,swimming,,head,male,,
Apr,1901,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,"torso, shoulder",male,,
Apr,1901,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,,provoked,snorkelling,,torso,male,,
Dec,1901,injured,QLD,"brisbane river, south brisbane cemetery",-27.46666667,153,estuary/harbour,bull shark,2,unprovoked,swimming,,"torso, leg, pelvic region",male,,
Jan,1902,injured,QLD,"brisbane river, highgate hill",-27.48333333,153,river,bull shark,,unprovoked,swimming,,leg,male,16,
Jan,1902,injured,QLD,"moreton bay, wynnum south",-27.43333333,153.1666667,coastal,whaler shark,,provoked,swimming,,torso,male,,
Jan,1903,fatal,NSW,"lane cove river, sydney",-33.81666667,151.15,river,bull shark,3,unprovoked,swimming,"left, below",leg,male,20,
Feb,1903,uninjured,NSW,"middle lagoon, tanja",-36.63333333,150,estuary/harbour,bull shark,1.8,provoked,fishing,,other: uninjured,male,,
Mar,1903,fatal,QLD,logan river,-27.7,153.2833333,river,bull shark,,unprovoked,swimming,,leg,male,,
May,1903,uninjured,NSW,kiama,-34.66666667,150.85,coastal,whaler shark,3,provoked,diving,,other: uninjured,male,,
Mar,1904,injured,QLD,"brisbane river, pinkenba",-27.41666667,153.1166667,river,bull shark,,unprovoked,swimming,,torso,male,,
Mar,1905,injured,NSW,lismore - wilsons river,-28.8,153.2666667,river,bull shark,,unprovoked,swimming,,leg,male,,
Dec,1905,fatal,QLD,"badu island, torres strait",-10.2,142.15,island open ocean,tiger shark,,provoked,snorkelling,,thigh,male,,
Jan,1906,fatal,NSW,georges river,-33.98333333,151.0666667,river,bull shark,2,unprovoked,swimming,,leg,male,33,
